Fox_education_Virginia,Fox_education_Lilly,Fox_education_Kris,Fox_education_Gayla,Fox_education_Andre,Fox_education_Willis,Fox_education_Charles,Fox_education_Leota,Fox_education_Theodore,Fox_education_Dewayne,Fox_education_Jacqueline,Fox_education_Yolande,Fox_education_Lesley,Fox_education_Maris,Fox_education_John,Fox_education_Marcelina,Fox_education_Sterling,Fox_education_Elvira,Fox_education_Ollie,Fox_education_Elois,Fox_education_Melinda,Fox_education_Geoffrey,Fox_education_Vernon,Fox_education_Tamika,Fox_education_Janina,Fox_education_Burton,Fox_education_Gloria,Fox_education_Nilda,Fox_education_Ashli,Fox_education_Miguelina,Fox_education_Long,Fox_education_Louie,Fox_education_Shaun,Fox_education_Kim,Fox_education_Otilia,Fox_education_Tonya,Fox_education_Elizabeth,Fox_education_Eddy,Fox_education_Melvin,Fox_education_Eldon,Fox_education_Suzan,Fox_education_Shirley,Fox_education_Claude,Fox_education_Maureen,Fox_education_Dominique,Fox_education_Stacia,Fox_education_Ray,Fox_education_Marlana,Fox_education_Rudolph,Fox_education_Leona,Fox_public_Bart,Fox_public_Denny,Fox_public_Lauren,Fox_public_Martin,Fox_public_Belle,Fox_public_Rhonda,Rat_public_Emilee,Rat_public_Nell,Rat_public_Frederick,Rat_public_Leta,Rat_public_Kelly,Rat_public_Sean,Rat_public_Kathleen,Rat_public_Becky,Rat_public_Toya,Rat_public_Loretta,Rat_public_Sharron,Rat_public_Kelle,Rat_public_Johnna,Rat_public_Bronwyn,Rat_public_Alanna,Rat_public_Lynda,Rat_public_Yetta,Rat_public_Laurie,Rat_public_Sade,Rat_public_Damon,Rat_public_Vickie,Rat_public_Chrissy,Rat_public_Allyson,Rat_public_Johnny,Rat_public_Isabel,Rat_public_Yessenia,Rat_public_Joann,Rat_public_Stella,Rat_public_Hortencia,Rat_public_Roma,Rat_public_Fredrick,Rat_public_Helena,Rat_public_Sharonda,Rat_public_Elmira,Rat_public_Clyde,Rat_public_Allie,Rat_public_Leo,Rat_public_Ramona,Rat_public_Julieann,Rat_public_Laura,Rat_public_Kermit,Rat_public_Courtney,Rat_public_Ulysses,Rat_public_Kimber,Fox_office_Israel,Fox_office_Gaylord,Fox_office_Margarita,Fox_office_Clayton,Fox_office_Demetrius,Fox_office_Berniece,Fox_office_Susanne,Fox_office_Alice,Fox_office_Molly,Fox_office_Brandy,Fox_office_Vicki,Fox_office_Karima,Fox_office_Zachary,Fox_office_Joy,Fox_office_Easter,Fox_office_Juana,Fox_office_Carson,Fox_office_Sheila,Fox_office_Thelma,Fox_office_Essie,Fox_office_Rowena,Fox_office_Bernard,Fox_office_Edythe,Fox_office_Yong,Rat_office_Annis,Rat_office_Jessica,Rat_office_Colby,Rat_office_Adele,Rat_office_Chris,Rat_office_Jacinta,Rat_office_Olivia,Rat_office_Ronald,Rat_office_Jamal,Rat_office_Ashlee,Rat_office_Sammy,Rat_office_Arron,Rat_office_Tracy,Rat_office_Randy,Rat_office_Craig,Rat_office_Mei,Rat_office_Jeannie,Rat_office_Kasey,Rat_office_Lora,Rat_office_Ramiro,Rat_office_Jill,Rat_office_Avis,Rat_office_Rosemary,Rat_office_Loyd,Bull_office_Anne,Bull_office_Myron
10.03,195.35,173.46,67.28,482.96,2637.27,18.38,255.03,269.83,103.52,64.90,576.98,10.29,22.64,92.55,4.07,36.69,212.85,106.21,8.40,469.86,124.07,43.11,234.81,131.09,55.62,683.30,137.28,33.23,121.91,168.79,67.23,67.80,68.91,1006.64,155.81,277.69,256.48,66.63,200.53,46.88,97.34,982.64,301.06,215.87,72.40,31.41,165.99,24.30,314.04,165.00,199.31,131.04,199.90,151.59,110.00,62.42,37.27,27.78,22.95,24.85,10.11,23.98,30.21,33.29,297.20,36.66,26.84,13.41,445.80,1279.80,16.96,18.75,158.59,47.43,27.98,22.07,81.55,57.55,19.89,74.12,181.64,21.11,95.23,81.23,73.42,6.07,32.76,46.10,25.96,27.47,17.22,22.55,23.32,10.67,17.41,22.11,44.09,,373.47,135.81,271.24,25.55,128.22,97.19,22.16,25.73,378.44,13.63,56.42,223.90,115.50,148.76,259.25,26.39,20.68,66.73,17.45,157.51,68.15,44.17,136.72,113.03,139.82,52.25,724.60,2434.11,493.59,1077.46,249.87,76.44,70.64,1361.65,34.54,71.17,81.77,25.63,142.41,300.27,22.67,55.42,129.06,567.02,39.80,821.48,901.01,21.11,66.84,21.00,74.00
9.46,194.94,176.81,70.97,487.75,2655.96,26.05,260.50,270.84,105.95,63.52,568.18,9.96,23.05,98.36,2.98,39.22,215.38,106.81,9.74,475.93,122.74,42.46,233.26,134.36,54.47,689.06,146.03,33.38,122.16,169.52,68.41,70.07,69.09,1006.42,156.72,278.86,255.84,65.62,201.99,47.84,97.43,973.58,300.31,217.58,74.24,31.18,168.35,24.07,305.67,171.53,203.92,134.00,202.51,155.81,123.31,78.35,36.87,27.69,22.25,26.03,9.41,24.30,30.65,30.07,297.61,36.25,27.15,12.41,448.68,1290.90,16.56,21.35,159.56,44.41,29.16,22.53,87.04,62.05,19.02,87.94,178.27,24.44,97.16,73.89,73.16,6.15,33.71,50.90,29.11,28.76,19.12,21.28,23.66,10.69,18.66,24.74,48.78,,401.52,133.41,280.81,25.72,135.03,84.97,21.22,27.01,377.50,15.79,63.21,221.15,115.19,158.06,259.44,28.06,21.52,67.03,19.48,153.06,67.38,48.99,137.16,114.03,140.15,48.75,722.54,2437.50,498.46,1081.11,251.98,79.42,75.11,1341.21,34.76,65.29,81.30,24.41,147.69,312.44,22.98,53.75,124.40,574.12,39.61,865.72,907.22,21.52,68.37,21.00,76.50
10.07,195.41,181.83,67.06,487.89,2645.45,22.10,253.09,270.52,105.73,58.98,572.62,9.68,23.23,102.90,2.61,41.90,223.41,107.33,9.89,472.53,123.89,42.52,234.21,132.00,52.76,692.75,146.72,33.30,130.03,166.65,70.78,71.13,68.45,1008.05,155.76,277.94,253.32,66.56,198.72,48.81,98.40,978.29,306.47,217.33,74.20,32.89,170.75,24.39,313.12,170.70,204.94,137.22,205.38,157.55,125.25,75.66,37.45,29.43,22.03,24.16,8.97,24.05,30.32,33.83,298.62,37.92,27.54,11.99,447.90,1310.10,16.98,21.41,159.31,43.16,28.99,22.48,85.89,63.87,19.50,87.66,175.99,24.90,97.85,68.12,73.04,6.20,32.43,49.08,27.64,28.43,19.07,21.50,23.08,10.70,16.71,23.92,49.65,,393.12,137.16,290.84,25.59,137.68,82.98,21.53,28.26,380.75,16.56,62.53,221.62,114.63,158.43,266.83,26.52,20.78,67.25,19.03,163.05,66.03,48.64,136.07,113.36,142.07,52.61,719.16,2464.06,496.45,1078.73,249.44,72.20,71.59,1345.60,35.15,64.41,78.93,23.55,142.70,305.48,21.58,54.89,127.71,580.39,39.97,886.00,902.83,20.17,68.25,20.00,81.00
10.33,192.73,178.42,64.03,489.70,2631.84,24.26,253.21,270.04,104.78,50.39,559.67,9.79,22.80,104.43,2.60,41.15,221.55,109.27,9.14,470.86,123.28,42.91,233.96,134.66,49.59,693.04,146.13,33.30,129.09,168.07,70.22,70.84,67.69,1004.55,153.19,281.36,250.59,66.64,200.50,49.94,99.36,975.42,310.32,219.38,73.45,32.13,168.34,24.38,306.05,169.81,206.28,134.26,203.74,160.82,125.23,69.40,36.90,28.57,21.82,23.87,9.50,23.53,29.93,34.04,297.82,36.03,27.66,14.47,446.82,1282.56,16.57,21.40,156.26,44.35,29.11,22.41,83.60,67.70,19.77,87.22,174.15,25.16,96.78,60.29,73.46,6.27,32.28,47.41,29.29,30.56,19.33,20.20,21.31,10.70,18.07,23.73,52.12,,338.69,132.73,284.38,25.52,137.41,96.73,20.66,31.84,381.79,16.76,62.39,221.56,115.04,138.98,265.90,25.90,20.35,66.94,21.11,166.08,58.82,47.69,137.68,115.09,142.96,52.59,709.18,2419.48,500.04,1080.80,252.37,73.94,73.72,1329.31,35.82,76.17,77.30,22.72,141.63,305.09,22.07,54.23,107.93,572.16,39.62,874.26,900.41,19.54,66.94,21.00,77.00
10.16,188.98,175.58,59.60,502.38,2628.53,28.54,247.21,270.12,101.80,38.16,559.71,9.71,20.62,102.81,2.62,40.07,216.66,108.58,10.01,466.98,122.42,43.39,235.31,132.31,38.33,691.59,144.69,33.33,120.00,165.18,71.30,71.94,67.51,997.63,153.08,277.79,239.30,66.09,201.16,50.11,98.69,975.70,308.54,216.45,71.59,31.70,170.66,24.32,315.11,168.76,205.91,137.37,204.46,161.38,123.51,85.81,37.03,27.79,21.73,24.21,7.13,24.34,31.62,40.37,294.43,36.06,27.64,13.71,437.64,1275.30,16.91,21.03,155.48,44.67,31.15,25.13,84.98,68.05,20.12,87.94,174.12,25.53,96.35,57.59,73.68,6.20,29.89,43.68,30.92,27.30,19.19,21.91,24.23,10.68,18.70,24.46,51.19,,331.11,131.44,272.30,25.52,146.87,93.46,19.20,35.05,380.50,17.17,61.59,220.05,104.14,105.40,265.09,26.13,19.62,66.26,20.51,149.21,53.38,46.22,138.37,114.71,143.01,53.31,685.81,2363.60,487.00,1083.25,258.41,74.72,74.33,1235.81,37.10,67.98,82.50,23.45,103.78,303.81,21.98,54.30,119.47,561.93,39.37,854.40,896.66,19.70,60.54,20.50,75.00
9.94,185.25,169.00,53.58,498.27,2627.48,27.84,225.87,266.80,95.64,21.14,550.11,9.84,20.23,96.99,1.83,30.66,197.84,105.84,10.70,458.62,120.12,43.18,213.89,117.62,35.89,691.12,143.22,33.25,121.57,156.16,73.38,67.94,66.08,987.15,151.58,279.26,237.87,65.19,202.76,48.34,91.25,978.64,305.93,207.05,72.05,32.38,166.97,15.79,299.73,168.01,199.79,132.57,201.86,158.98,120.13,70.68,37.16,27.22,22.42,24.45,8.41,23.80,29.83,42.66,286.42,37.90,20.53,11.56,393.66,1269.42,16.71,16.21,155.96,43.22,31.36,25.42,83.37,63.26,18.93,79.10,174.09,22.70,93.09,59.03,67.65,6.27,27.98,36.70,31.71,27.87,17.12,21.17,30.30,10.66,17.98,18.86,43.88,,360.81,125.75,244.44,24.08,141.46,72.43,15.27,32.17,372.07,14.49,54.02,210.59,67.02,94.19,261.94,24.05,18.34,65.08,20.02,139.32,42.97,44.36,135.30,110.50,134.24,49.55,695.32,2338.49,475.89,1082.31,254.19,74.14,74.64,1087.62,35.77,64.22,83.94,22.60,100.39,296.91,20.94,52.42,100.83,533.81,39.72,792.91,855.03,14.22,50.68,20.50,70.50
9.48,182.63,165.30,48.55,468.39,2606.64,26.34,220.19,262.88,82.84,4.93,541.26,11.80,20.65,86.66,1.51,22.27,186.40,101.81,8.71,458.14,118.77,43.27,209.68,109.43,32.62,685.45,136.95,32.36,127.56,150.06,71.12,67.30,53.95,974.43,150.53,271.64,239.19,62.59,196.31,42.60,88.23,963.15,299.04,196.46,72.40,32.96,163.94,12.95,290.96,167.03,193.18,129.98,199.49,158.41,119.97,60.87,36.92,27.61,20.38,24.38,8.31,23.73,29.66,41.08,281.91,40.26,19.47,13.20,363.24,1287.60,17.77,15.55,156.78,43.67,28.41,25.16,78.02,59.20,18.52,76.93,179.30,20.93,91.13,58.83,65.69,6.22,24.18,29.52,29.67,27.48,16.59,20.80,34.98,10.55,14.43,15.35,42.87,,347.73,121.90,213.95,23.42,131.06,66.39,11.38,26.88,363.39,8.30,48.47,203.19,64.46,77.14,247.09,22.35,15.55,62.56,18.95,128.19,37.16,42.33,131.28,109.79,126.43,46.63,664.54,2326.47,441.72,1080.17,243.38,61.99,66.35,723.38,35.01,63.33,61.98,21.83,95.97,290.54,20.55,41.84,59.66,447.87,39.84,650.53,827.74,10.85,46.09,19.00,62.00
9.20,183.20,144.00,48.25,457.93,2596.73,23.25,215.63,262.42,74.27,0.26,524.83,13.37,20.16,86.53,1.27,18.16,186.49,100.14,9.25,455.23,117.75,44.84,206.49,109.41,36.63,675.21,134.44,28.87,117.91,150.41,73.84,80.48,48.05,972.25,154.48,268.52,251.27,62.44,193.77,40.33,102.13,950.62,299.10,186.41,71.28,33.19,166.36,13.11,282.53,163.88,185.51,133.34,201.82,157.32,105.71,62.22,37.46,28.51,21.01,24.17,8.05,23.84,30.26,39.51,279.65,39.05,19.44,11.26,347.82,1272.84,16.86,15.52,154.37,43.62,28.23,26.49,74.47,56.84,18.24,76.72,175.10,20.09,91.80,61.05,62.96,6.26,26.29,29.31,24.25,31.56,16.39,21.33,35.35,10.74,14.96,15.01,43.45,,362.31,120.34,165.90,23.23,121.52,84.13,12.30,23.91,357.34,6.34,33.16,189.27,65.58,79.28,231.42,21.61,15.36,62.94,17.03,98.75,33.41,39.52,132.73,108.09,125.41,44.08,588.66,2319.82,445.44,1075.85,235.42,45.75,61.79,668.37,34.31,55.37,70.81,21.70,92.30,289.78,20.09,40.87,52.68,436.38,39.88,613.70,816.70,10.39,44.06,19.00,57.50
8.93,183.65,144.45,44.31,457.68,2594.47,22.58,212.63,261.72,63.77,0.03,512.57,13.27,20.70,77.81,1.36,7.24,191.31,102.42,9.03,458.26,117.81,47.60,203.83,114.15,44.70,679.50,108.60,29.19,86.77,140.01,73.09,81.52,49.45,970.75,175.01,266.98,219.42,58.27,192.92,38.47,104.86,947.62,297.78,182.48,70.29,29.49,166.59,13.43,247.59,164.67,176.13,132.24,200.89,155.57,72.91,64.08,37.64,28.41,19.65,23.54,11.09,21.22,28.91,40.77,276.29,39.55,19.48,11.22,343.50,1269.18,16.47,15.46,154.72,44.38,27.50,28.55,70.69,54.45,20.27,77.56,174.00,19.98,91.47,63.64,69.48,6.25,25.08,33.70,26.62,25.78,16.66,21.55,36.52,11.14,15.14,14.98,41.84,,379.04,121.81,148.04,22.20,115.03,78.07,16.09,23.91,360.65,6.95,25.59,181.10,69.87,108.48,226.35,20.70,14.14,60.91,16.36,82.85,30.21,38.14,134.38,108.55,124.97,42.57,587.60,2322.63,442.87,1076.26,231.30,43.31,56.37,656.99,33.70,54.96,68.06,21.60,63.67,293.24,19.68,40.48,47.74,434.91,40.05,489.03,805.14,11.44,38.25,18.50,56.00
8.34,181.33,137.68,39.52,443.44,2588.69,22.89,212.96,261.57,61.00,0.03,511.43,12.89,20.84,73.06,1.23,5.37,177.83,99.61,7.90,453.53,111.45,47.55,201.98,113.90,41.46,672.50,99.22,28.98,75.36,115.73,68.94,80.25,48.16,969.09,177.67,262.91,204.12,61.35,192.43,35.11,104.10,954.61,296.28,175.67,70.53,32.03,160.17,13.31,231.96,164.25,164.36,123.09,179.53,150.62,61.15,57.51,37.62,28.22,19.35,23.55,11.91,21.12,30.53,34.24,276.69,40.63,19.61,10.85,345.00,1261.62,15.86,15.52,155.13,42.95,27.48,27.73,72.66,53.23,20.67,70.76,171.24,16.83,92.87,64.17,69.09,6.21,22.75,35.65,26.68,28.84,14.70,20.21,37.60,11.20,13.61,15.51,32.37,,369.03,120.45,136.89,22.39,109.84,92.16,15.46,18.98,351.39,6.86,23.31,176.13,61.71,107.85,219.61,19.35,12.36,58.91,13.43,80.56,29.64,35.71,134.75,103.55,125.66,40.27,575.76,2329.99,447.09,1082.79,228.64,41.49,52.16,647.50,33.30,54.18,71.81,21.81,62.87,313.78,19.23,41.64,46.30,432.76,40.64,357.38,796.53,12.67,38.48,19.00,61.00
7.45,171.14,75.28,39.41,426.50,2579.97,21.56,188.31,260.79,59.89,0.03,501.01,10.76,18.55,60.23,0.94,5.35,163.88,85.63,8.75,449.00,106.93,47.02,181.80,114.66,43.09,664.84,99.58,27.86,61.37,91.55,61.44,78.25,37.76,961.17,177.45,257.10,180.76,45.16,190.45,34.01,89.03,950.14,283.34,173.72,70.97,32.32,159.84,13.39,228.13,97.72,158.93,111.22,172.34,144.33,50.37,20.18,38.32,28.14,19.63,22.96,13.82,21.12,29.61,31.30,277.51,41.10,19.72,10.57,341.82,1254.06,15.98,15.48,153.51,45.18,26.75,24.17,73.12,49.76,20.65,70.41,89.52,16.80,92.91,64.32,25.19,6.29,21.73,35.08,27.82,33.85,14.49,20.21,35.79,11.21,14.27,15.43,28.43,,363.43,116.31,127.89,21.98,104.21,98.78,13.79,17.66,334.98,6.32,23.46,170.95,24.22,99.96,213.60,18.41,11.96,38.89,13.92,78.66,29.16,33.30,131.66,101.28,121.91,40.04,571.11,2293.82,438.42,1081.65,231.50,40.22,51.55,643.71,33.32,50.34,46.39,21.34,63.34,312.87,18.90,41.40,52.75,402.27,40.67,336.78,797.68,12.46,38.17,20.00,60.00
6.75,169.03,38.07,38.80,432.76,2572.57,19.71,176.37,261.04,59.14,0.03,499.02,11.31,17.41,53.90,0.93,5.32,144.03,79.30,8.93,438.38,105.78,47.42,159.19,111.22,44.08,657.61,100.85,27.31,48.72,87.38,55.54,67.23,33.45,953.85,177.56,248.44,149.31,35.41,189.94,30.64,77.13,944.33,268.08,171.25,71.25,33.42,156.44,13.37,227.08,68.47,158.45,100.38,159.61,140.76,56.96,19.09,37.47,27.44,19.76,21.62,12.59,20.92,28.11,30.19,274.45,40.67,19.71,10.02,337.62,1230.48,15.92,15.50,150.12,43.64,24.63,21.23,67.64,49.22,21.00,70.28,82.42,16.77,92.19,48.64,24.75,6.21,20.55,34.61,30.41,29.95,14.03,19.27,32.90,11.19,14.07,15.26,28.25,,346.28,105.08,126.26,21.62,98.46,121.97,14.09,15.30,328.46,5.95,23.50,167.85,23.16,101.18,209.08,18.87,11.81,31.44,13.13,77.70,29.29,33.28,115.50,98.52,121.19,38.71,568.23,2303.41,431.80,1080.02,229.42,36.22,46.94,648.32,33.41,46.36,46.83,21.02,63.26,310.89,19.13,42.06,44.35,251.48,40.88,332.10,791.17,12.97,35.74,19.50,60.00
5.55,163.47,36.39,38.01,436.88,2556.29,19.22,180.47,260.32,58.12,0.03,499.52,10.91,16.96,46.17,1.04,5.54,135.13,79.09,7.77,439.39,105.64,40.24,163.74,86.31,44.64,650.93,102.56,28.34,49.09,85.11,51.04,64.99,33.92,936.58,176.99,219.37,148.94,34.59,191.54,30.68,79.11,942.85,259.50,168.00,69.55,36.40,152.70,13.28,224.88,67.68,146.03,96.35,158.09,139.22,60.91,18.03,38.12,28.39,18.92,21.21,14.48,21.80,27.46,29.40,271.36,39.95,19.62,10.81,335.64,1195.26,15.05,15.50,147.14,38.09,24.61,22.09,62.64,50.30,20.01,70.24,81.45,16.57,91.27,40.24,24.93,6.25,17.95,33.73,29.11,27.46,14.12,18.33,30.95,11.18,12.88,15.05,26.73,,341.96,101.58,116.05,20.88,53.32,104.95,13.98,14.46,331.12,5.52,22.88,159.98,25.34,102.43,177.18,18.98,11.98,32.37,12.83,77.87,28.96,32.97,106.44,95.79,114.18,37.22,571.78,2308.53,439.77,1080.34,227.28,33.35,49.23,629.75,32.62,52.23,43.33,20.54,64.19,311.80,19.71,41.03,44.24,243.32,40.34,326.76,792.09,12.96,31.80,19.50,49.50
5.87,165.50,36.83,38.03,406.99,2543.24,18.36,180.66,260.12,57.88,0.04,494.53,11.23,17.06,46.16,1.14,5.38,141.26,78.63,8.24,436.17,104.81,34.48,144.05,75.38,44.43,649.84,106.42,27.20,49.05,84.28,49.38,65.41,33.76,935.17,178.03,211.27,146.78,35.89,190.08,33.20,77.84,937.62,256.88,165.84,70.84,35.76,154.73,15.14,217.72,99.36,145.31,90.59,150.69,134.76,78.56,18.80,38.45,28.62,19.30,20.92,12.79,21.11,27.82,29.36,270.36,40.48,19.54,9.77,333.66,1187.76,14.88,15.52,146.31,35.30,23.22,21.77,64.28,49.98,19.26,67.09,79.65,16.51,90.66,39.27,24.59,6.23,18.18,34.46,27.39,26.19,14.29,17.95,31.06,11.19,13.78,14.72,27.41,,344.79,100.71,117.41,20.83,39.86,99.08,13.82,15.05,326.69,5.84,21.76,158.10,22.86,101.37,167.93,18.58,12.04,30.88,13.39,77.62,28.00,31.47,107.76,93.81,105.52,34.90,565.52,2297.22,421.66,1080.13,223.91,35.13,46.75,633.00,33.48,42.29,47.43,20.12,63.07,314.01,19.46,39.83,44.38,244.89,40.94,330.52,788.10,12.80,31.45,19.00,43.00
5.62,163.85,37.92,39.02,414.31,2543.89,16.72,187.15,259.35,56.70,0.04,495.30,10.62,17.08,41.21,0.91,5.22,138.07,79.49,9.10,435.56,106.37,34.26,142.25,76.97,43.92,639.79,105.50,26.78,47.08,86.42,50.55,62.16,32.83,928.98,178.34,220.67,270.03,35.33,189.30,32.30,74.27,940.53,256.44,165.87,69.56,37.72,152.31,13.32,222.39,101.09,143.68,89.84,151.88,132.25,87.78,18.94,38.14,28.55,17.00,19.89,13.02,21.09,26.85,27.10,267.25,39.88,19.52,8.73,330.60,1186.26,14.10,15.49,148.80,32.77,23.23,21.70,66.03,49.12,19.35,65.28,79.39,16.45,89.43,39.08,24.67,6.25,18.18,34.12,27.20,27.95,14.00,17.77,29.01,11.20,12.72,14.38,26.07,,353.47,103.12,112.53,20.52,37.62,102.00,19.18,13.84,324.93,5.18,18.18,160.00,23.01,102.34,194.90,18.98,11.88,30.30,10.84,78.15,28.54,31.97,106.71,92.70,96.26,32.83,568.31,2336.10,439.62,1074.18,225.23,35.90,46.95,621.81,32.58,50.49,45.06,19.43,63.05,312.82,19.34,39.60,45.46,246.00,40.37,327.64,779.72,12.36,30.54,19.50,43.50
5.68,165.54,37.72,41.71,404.36,2516.93,16.55,183.06,259.23,69.82,0.04,494.08,11.37,17.12,44.91,0.97,8.18,156.12,78.96,7.58,431.84,106.16,34.22,151.04,78.92,44.38,641.06,104.90,27.07,49.05,93.95,49.32,62.77,33.64,927.66,177.21,229.87,297.81,36.52,190.13,31.80,75.13,935.30,253.88,167.40,69.26,38.43,153.05,14.92,230.68,87.77,135.87,89.59,153.21,133.31,98.24,18.01,38.21,27.45,18.05,19.02,14.56,20.97,26.98,27.12,266.68,39.87,19.50,10.16,333.72,1190.64,13.69,15.46,147.01,31.98,22.92,21.88,65.23,47.98,18.54,62.34,79.32,16.59,87.67,38.30,24.63,6.25,16.64,33.74,26.80,25.10,14.00,17.27,28.76,11.22,12.18,14.46,26.12,,347.84,99.27,111.69,20.61,37.60,101.65,19.73,12.68,321.82,5.38,17.84,158.01,60.68,133.44,196.53,18.63,11.72,28.84,11.04,101.17,29.04,31.72,118.11,94.19,93.18,32.93,570.23,2380.19,417.30,1072.82,226.12,34.34,44.28,626.10,32.09,43.16,45.31,19.05,62.98,309.71,19.30,39.33,50.47,247.53,40.90,350.68,781.74,12.18,32.06,19.50,44.50
15.48,164.98,36.09,49.81,423.52,2520.32,16.28,215.09,260.45,83.16,0.04,488.43,10.50,16.88,38.91,1.52,10.22,160.67,78.13,7.83,428.31,106.69,34.07,135.49,83.13,44.54,637.33,106.43,32.03,46.84,112.86,50.28,61.94,55.59,915.44,176.76,243.53,298.80,39.52,188.12,33.54,83.81,931.79,254.85,167.03,69.41,40.15,152.48,13.58,234.40,67.06,135.32,92.21,161.25,128.51,85.56,18.82,38.09,26.56,17.55,22.22,14.46,21.26,27.06,27.70,261.65,38.78,19.48,8.74,337.32,1195.98,14.13,15.41,145.90,34.34,23.77,22.18,64.70,47.86,18.44,61.64,79.38,16.41,87.45,45.97,23.35,6.23,18.54,33.71,26.66,24.93,13.46,18.66,28.16,11.22,12.84,14.66,26.16,,362.89,99.59,115.28,20.38,37.53,167.84,21.08,12.47,335.50,14.28,17.71,153.28,66.83,153.11,189.46,18.20,11.39,28.56,9.75,116.07,41.66,30.20,121.47,95.82,91.52,34.41,589.90,2393.09,476.47,1069.27,228.75,33.27,47.83,709.54,32.21,38.80,42.91,18.36,98.75,311.50,19.06,39.23,43.73,259.84,41.62,484.65,777.83,12.52,32.76,19.50,43.50
18.45,175.83,34.80,52.23,410.26,2515.96,14.48,208.57,264.34,85.82,0.05,486.63,11.21,16.55,45.91,2.17,13.00,161.70,91.13,8.24,427.88,112.57,32.82,181.07,107.32,68.53,630.31,105.28,33.09,117.77,124.62,56.41,68.05,62.75,909.46,167.54,284.62,298.48,41.58,188.50,39.57,70.27,931.38,254.54,164.96,69.91,41.97,149.94,17.08,262.80,76.67,126.45,98.40,177.19,126.96,75.78,30.05,37.98,27.59,18.75,24.51,13.34,21.42,28.42,27.56,262.99,39.00,19.44,10.62,342.24,1193.22,15.24,15.50,145.80,35.54,26.13,20.39,62.64,48.45,18.43,61.09,78.50,16.25,89.13,76.86,23.02,6.30,22.31,38.28,24.75,27.21,13.41,20.83,29.08,11.21,14.21,14.37,25.52,,477.47,99.06,142.42,20.55,85.62,166.49,25.29,11.13,344.26,9.96,17.16,149.76,66.38,125.84,178.89,23.59,11.21,34.83,10.29,112.78,55.28,30.01,125.64,97.03,92.03,31.99,651.86,2412.77,549.63,1076.83,228.84,35.09,49.65,975.83,32.61,43.92,47.87,21.32,142.50,299.63,18.94,38.15,69.58,407.33,41.10,778.61,777.08,12.08,38.11,19.50,43.50
14.83,206.20,109.16,49.87,415.41,2509.52,17.89,209.02,264.22,116.50,3.72,495.49,16.02,19.02,61.16,3.96,21.00,151.95,95.38,14.16,419.00,113.44,38.51,180.47,110.49,65.18,632.66,118.11,32.73,145.53,150.21,67.33,83.55,62.45,904.90,154.79,315.84,290.13,50.65,186.87,36.80,102.22,943.50,266.65,170.98,70.67,40.95,153.41,13.23,305.18,126.27,115.56,96.77,180.37,127.17,63.27,40.27,37.36,29.21,20.12,24.23,18.96,21.11,30.52,26.17,268.37,38.58,19.32,10.94,350.70,1186.56,16.88,15.44,154.12,36.32,27.34,18.94,62.92,45.78,18.88,59.70,115.67,15.92,91.08,90.03,36.44,6.22,29.97,30.85,24.21,30.76,12.83,19.98,29.34,10.70,13.97,14.53,25.40,,527.85,111.45,206.27,21.38,101.95,130.91,26.12,15.80,344.21,7.95,48.80,159.30,92.10,102.18,178.25,33.06,22.20,44.78,10.32,140.88,52.48,29.34,137.08,98.97,98.19,31.72,682.86,2418.90,554.09,1090.77,227.68,33.92,47.34,1363.48,31.63,40.80,74.19,21.31,127.44,281.73,19.37,37.25,126.47,540.36,40.29,995.39,776.18,16.78,42.02,20.00,49.00
14.87,195.16,156.62,53.59,432.19,2514.26,17.12,222.56,263.00,102.58,13.39,529.21,17.70,21.84,75.88,3.75,27.72,185.91,96.23,13.21,427.80,117.14,45.48,182.44,117.05,60.50,643.45,141.53,33.57,125.66,165.69,71.81,89.77,65.57,933.86,157.53,330.03,286.34,52.48,187.13,36.94,118.03,946.70,269.86,182.03,71.14,39.52,161.32,14.83,309.62,160.44,143.93,112.10,185.85,126.06,108.53,59.04,37.65,27.80,22.20,24.38,18.78,23.31,29.04,25.21,269.54,33.81,20.61,12.53,388.62,1206.54,15.94,16.25,165.73,36.65,29.70,20.90,65.33,46.28,20.29,61.11,176.96,15.65,94.36,95.31,49.28,6.36,25.62,36.48,24.86,32.28,12.09,19.00,29.89,10.50,13.28,15.34,24.64,,532.57,119.39,219.43,23.70,94.41,116.94,29.14,18.25,347.48,7.97,57.55,185.36,108.96,123.65,199.18,30.02,31.67,63.95,13.41,147.72,55.08,36.20,137.65,105.36,115.19,38.11,683.31,2405.79,574.64,1106.81,229.50,74.81,50.82,1466.02,38.90,44.46,73.97,21.02,145.85,292.27,20.48,52.39,117.81,617.39,41.65,1040.74,829.03,25.00,54.01,19.50,68.00
